year,code,name,round,league,region,decade,superliga,city,areacode,metropol,pop,gdp,country,eurostat,ecb,cowc,cown
2001,MNU,Manchester Utd FC,QF,England,Big 5,2000s,Yes,Manchester,UK008,Manchester,3348274,136317,United Kingdom,UK,GB,UKG,200
2001,GAL,Galatasaray,QF,Turkey,Small,2000s,No,Istanbul,TR001,Istanbul,15462452,237000,Turkey,TR,TR,TUR,640
2001,ARS,Arsenal FC,QF,England,Big 5,2000s,Yes,London,UK001,London,12434823,851738,United Kingdom,UK,GB,UKG,200
2001,DEP,Deportivo Coruña,QF,Spain,Big 5,2000s,No,A Coruña,ES026,Coruna (A),417452,NA,Spain,ES,ES,SPN,230
2002,RMA,Real Madrid CF,RU,Spain,Big 5,2000s,Yes,Madrid,ES001,Madrid,6791667,342534,Spain,ES,ES,SPN,230
2002,LEV,Bayern Leverkusen,W,Germany,Big 5,2000s,No,Ruhrgebiet,DE038,Ruhr,5113487,206526,Germany,DE,DE,GMY,255
2002,FCB,FC Barcelona,SF,Spain,Big 5,2000s,Yes,Barcelona,ES002,Barcelona,4985549,218318,Spain,ES,ES,SPN,230
2002,MNU,Manchester Utd FC,SF,England,Big 5,2000s,Yes,Manchester,UK008,Manchester,3348274,136317,United Kingdom,UK,GB,UKG,200
2002,LIV,Liverpool FC,QF,England,Big 5,2000s,Yes,Liverpool,UK006,Liverpool,1533860,50484,United Kingdom,UK,GB,UKG,200
2002,DEP,Deportivo Coruña,QF,Spain,Big 5,2000s,No,A Coruña,ES026,Coruna (A),417452,NA,Spain,ES,ES,SPN,230
2002,BMN,FC Bayern,QF,Germany,Big 5,2000s,No,München,DE003,Munich,2883373,241407,Germany,DE,DE,GMY,255
2002,PAN,Panathinakos FC,QF,Greece,Small,2000s,No,Athina,EL001,Athens,3541591,134254,Greece,EL,GR,GRC,350
2003,JUV,Juventus FC,W,Italy,Big 5,2000s,Yes,Torino,IT004,Turin,1760085,76575,Italy,IT,IT,ITA,325
2003,MIL,AC Milan,RU,Italy,Big 5,2000s,Yes,Milano,IT002,Milan,5145657,301366,Italy,IT,IT,ITA,325
2003,RMA,Real Madrid CF,SF,Spain,Big 5,2000s,Yes,Madrid,ES001,Madrid,6791667,342534,Spain,ES,ES,SPN,230
2003,INT,FC Inter Milan,SF,Italy,Big 5,2000s,Yes,Milano,IT002,Milan,5145657,301366,Italy,IT,IT,ITA,325
2003,FCB,FC Barcelona,QF,Spain,Big 5,2000s,Yes,Barcelona,ES002,Barcelona,4985549,218318,Spain,ES,ES,SPN,230
2003,VAL,Valencia CF,QF,Spain,Big 5,2000s,No,Valencia,ES003,Valencia,1733606,58149,Spain,ES,ES,SPN,230
2003,AJA,AFC Ajax,QF,Netherlands,Small,2000s,No,Amsterdam,NL002,Amsterdam,2769100,200944,Netherlands,NL,NL,NTH,210
2003,MNU,Manchester Utd FC,QF,England,Big 5,2000s,Yes,Manchester,UK008,Manchester,3348274,136317,United Kingdom,UK,GB,UKG,200
2004,POR,FC Porto,W,Portugal,Small,2000s,No,Porto,PT002,Porto,1272189,38974,Portugal,PT,PT,POR,235
2004,MON,AS Monaco,RU,France,Big 5,2000s,No,Monaco,Monaco,NA,NA,NA,France,FR,FR,FRN,220
2004,CHE,Chelsea FC,SF,England,Big 5,2000s,Yes,London,UK001,London,12434823,851738,United Kingdom,UK,GB,UKG,200
2004,DEP,Deportivo Coruña,SF,Spain,Big 5,2000s,No,A Coruña,ES026,Coruna (A),417452,NA,Spain,ES,ES,SPN,230
2004,RMA,Real Madrid CF,QF,Spain,Big 5,2000s,Yes,Madrid,ES001,Madrid,6791667,342534,Spain,ES,ES,SPN,230
2004,LYO,Olympique Lyon,QF,France,Big 5,2000s,No,Lyon,FR003,Lyon,2100064,112896,France,FR,FR,FRN,220
2004,MIL,AC Milan,QF,Italy,Big 5,2000s,Yes,Milano,IT002,Milan,5145657,301366,Italy,IT,IT,ITA,325
2004,ARS,Arsenal FC,QF,England,Big 5,2000s,Yes,London,UK001,London,12434823,851738,United Kingdom,UK,GB,UKG,200
2005,MIL,AC Milan,W,Italy,Big 5,2000s,Yes,Milano,IT002,Milan,5145657,301366,Italy,IT,IT,ITA,325
2005,LIV,Liverpool FC,RU,England,Big 5,2000s,Yes,Liverpool,UK006,Liverpool,1533860,50484,United Kingdom,UK,GB,UKG,200
2005,CHE,Chelsea FC,SF,England,Big 5,2000s,Yes,London,UK001,London,12434823,851738,United Kingdom,UK,GB,UKG,200
2005,PSV,PSV Eindhoven,SF,Netherlands,Small,2000s,No,Eindhoven,NL005,Eindhoven,753778,46945,Netherlands,NL,NL,NTH,210
